sample,cpu,user,nice,system,idle,iowait,irq,softirq,steal
0,0,5,0,242,2458,0,117,3,0
0,1,0,0,1,3212,0,6,0,0
1,0,237,0,280,2458,0,241,3,0
1,1,21,0,53,3547,0,102,0,0
2,0,548,0,285,2458,0,371,3,0
2,1,44,0,113,3893,0,208,0,0
3,0,866,0,298,2458,0,495,4,0
3,1,71,0,186,4241,0,311,0,0
4,0,1171,0,328,2458,0,624,4,0
4,1,89,0,236,4589,0,418,0,0
5,0,1488,0,342,2458,0,753,4,0
5,1,105,0,283,4929,0,529,0,0
6,0,1786,0,369,2458,0,892,5,0
6,1,134,0,345,5269,0,636,0,0
7,0,2096,0,384,2458,0,1037,5,0
7,1,142,0,378,5610,0,747,0,0
8,0,2411,0,386,2458,0,1176,5,0
8,1,168,0,443,5953,0,854,1,0
9,0,2735,0,386,2458,0,1317,6,0
9,1,185,0,488,6295,0,964,1,0
10,0,3044,0,389,2458,0,1473,6,0
10,1,202,0,540,6639,0,1074,1,0
11,0,3364,0,398,2458,0,1600,6,0
11,1,226,0,610,6976,0,1186,1,0
12,0,3696,0,408,2458,0,1724,7,0
12,1,246,0,675,7314,0,1299,1,0
13,0,4030,0,411,2458,0,1851,7,0
13,1,273,0,768,7655,0,1407,1,0
14,0,4354,0,413,2458,0,1970,8,0
14,1,289,0,816,7976,0,1542,1,0
15,0,4680,0,414,2458,0,2101,8,0
15,1,313,0,886,8313,0,1652,1,0
16,0,4985,0,436,2458,0,2229,8,0
16,1,339,0,957,8651,0,1763,2,0
17,0,5294,0,471,2458,0,2340,9,0
17,1,359,0,1007,8992,0,1875,2,0
18,0,6049,0,498,2458,0,2705,9,0
18,1,378,0,1050,10397,0,1963,2,0
19,0,6864,0,538,2458,0,3050,10,0
19,1,378,0,1050,11957,0,1963,2,0
20,0,7635,0,596,2458,0,3393,11,0
20,1,378,0,1050,13489,0,1963,2,0
21,0,8450,0,630,2458,0,3756,11,0
21,1,378,0,1050,15064,0,1963,2,0
22,0,9277,0,687,2458,0,4109,12,0
22,1,378,0,1050,16688,0,1963,2,0
23,0,10157,0,689,2458,0,4507,12,0
23,1,378,0,1050,18341,0,1963,2,0
24,0,11026,0,712,2458,0,4981,13,0
24,1,378,0,1050,20112,0,1963,2,0
