snapshot,cpu,count,delta
before,0,3281,3281
before,1,3284,3284
before,2,3284,3284
before,3,3281,3281
zephyr-after,0,4230,949
zephyr-after,1,4234,950
zephyr-after,2,4230,946
zephyr-after,3,4231,950
linux-final,0,15766,11536
linux-final,1,15771,11537
linux-final,2,15767,11537
linux-final,3,15766,11535
