snapshot,cpu,count,delta
before,0,3280,3280
before,1,3279,3279
before,2,3278,3278
before,3,3277,3277
zephyr-after,0,4241,961
zephyr-after,1,4242,963
zephyr-after,2,4241,963
zephyr-after,3,4239,962
linux-final,0,18058,13817
linux-final,1,18060,13818
linux-final,2,18060,13819
linux-final,3,18054,13815
