sequence,jitter_ns
0,12497744
1,7314032
2,8076304
3,12435856
4,7310144
5,1627104
6,12440288
7,5154944
8,12422256
9,7362112
10,12433328
11,7289104
12,12433232
13,7309376
14,12428080
15,7303840
16,12422176
17,7312160
18,12453792
19,7308512
20,12451744
21,7293440
22,12421616
23,3927440
24,12427472
25,7290128
26,12421088
27,7310272
28,12447888
29,7318560
30,12435264
31,7288336
32,12479056
33,12439136
34,4305424
35,12425808
36,7292016
37,12428608
38,7306144
39,12456944
40,7295104
41,9509216
42,12422304
43,4262848
44,12427136
45,7289664
46,12444736
47,7298288
48,12431968
49,7291424
50,12472096
51,7328400
52,12469024
53,12439744
54,4390480
55,6949552
56,12454224
57,7337856
58,12457168
59,7306640
60,12449120
61,7329968
62,12431984
63,4294368
64,12459712
65,5920976
66,12439856
67,7312544
68,12466672
69,7312400
70,12453664
71,7302544
72,12442768
73,7301888
74,12433840
75,7313424
76,12434688
77,7295360
78,12427472
79,7314352
80,6917408
81,10330016
82,6914208
83,12429840
84,7306576
85,12441856
86,7301360
87,12428768
88,7305040
89,12446528
90,7324592
91,10715872
92,6916384
93,12434096
94,7325344
95,12453200
96,7309616
97,12431328
98,7291040
99,12451712
100,12489296
101,4333904
102,6917184
103,12466080
104,7674912
105,12473488
106,7296816
107,12431664
108,7468400
109,12475952
110,4319600
111,11389440
112,7309824
113,12438960
114,7460768
115,12453072
116,7298208
117,12442528
118,7294752
119,12447376
120,3875168
121,12415760
122,12486208
123,7297888
124,12444496
125,7289712
126,12431616
127,7287536
128,12434864
129,7317728
130,12435312
131,7301920
132,12474576
133,7313360
134,12463088
135,12441024
136,4349040
137,12442160
138,7457200
139,12474000
140,7494016
141,12497904
142,7295232
143,12427392
144,7297664
145,12436880
146,7291440
147,12526400
148,7323168
149,12421856
150,3899456
151,12882896
152,7306544
153,12439136
154,7307856
155,12440976
156,7298512
157,12416528
158,7292480
159,12439600
160,12444560
161,4896880
162,7042000
163,12468256
164,7312496
165,12426000
166,7296624
167,12444976
168,7454432
169,12459488
170,4260416
171,12444272
172,6917936
173,11853600
174,4497408
175,12475744
176,7474240
177,6249936
178,12472208
179,7336096
180,12491008
181,7322992
182,4938288
183,12464928
184,4042480
185,12458784
186,7344528
187,12468864
188,7320864
189,12436752
190,7317216
191,12453648
192,12462928
193,7313344
194,3745552
195,12440384
196,7332800
197,12435760
198,3989280
199,3181744
200,11254992
201,3112192
202,1227536
203,12481376
204,3838400
205,12462240
206,7307216
207,12441264
208,7340480
209,1981824
210,12439184
211,7313056
212,4640288
213,12443968
214,7309568
215,12440848
216,7317184
217,12447088
218,7304144
219,12430176
220,7312816
221,12434656
222,12430800
223,7302864
224,12428448
225,7301120
226,12439792
227,7302448
228,12454384
229,7337008
230,12438320
231,7318640
232,5283760
233,12446512
234,7375536
235,12471424
236,7293776
237,12432704
238,7313104
239,12433824
240,7285584
241,12452784
242,12423168
243,7301872
244,12432192
245,7305808
246,12447984
247,7302880
248,12460256
249,7331632
250,12439584
251,7308608
252,5948976
253,12468848
254,7300976
255,12477664
256,7320192
257,12450176
258,7299072
259,12454208
260,7319024
261,12431376
262,12450112
263,7294272
264,12423040
265,7302016
266,12439728
267,7299552
268,12431872
269,7306272
270,12433344
271,7316400
272,6669776
273,12479296
274,7331600
275,12468976
276,7311376
277,12440640
278,7312624
279,12477424
280,7323376
281,12452368
282,12444432
283,7360592
284,12457872
285,7300368
286,12420704
287,7309824
288,12428128
289,7290560
290,12421936
291,7300432
292,7328768
293,12449856
294,7291408
295,12441424
296,7328880
297,12427920
298,7293568
299,12431104
