sample,cpu,user,nice,system,idle,iowait,irq,softirq,steal
0,0,5,0,219,2492,0,19,1,0
0,1,0,0,1,2842,0,5,0,0
1,0,385,0,253,2492,0,43,2,0
1,1,16,0,54,3135,0,135,0,0
2,0,847,0,269,2492,0,69,2,0
2,1,36,0,117,3465,0,249,0,0
3,0,1286,0,309,2492,0,94,2,0
3,1,58,0,182,3799,0,363,0,0
4,0,1740,0,334,2492,0,121,3,0
4,1,88,0,263,4129,0,478,0,0
5,0,2216,0,335,2492,0,147,3,0
5,1,111,0,334,4461,0,590,0,0
6,0,2695,0,335,2492,0,173,3,0
6,1,135,0,409,4794,0,704,0,0
7,0,3157,0,353,2492,0,198,3,0
7,1,159,0,492,5127,0,816,1,0
8,0,3626,0,362,2492,0,224,4,0
8,1,179,0,562,5459,0,930,1,0
9,0,4104,0,363,2492,0,249,4,0
9,1,195,0,641,5787,0,1045,1,0
10,0,4609,0,374,2492,0,277,4,0
10,1,223,0,728,6171,0,1167,1,0
11,0,4909,0,416,2492,0,297,5,0
11,1,241,0,786,6510,0,1328,1,0
12,0,5369,0,436,2492,0,323,5,0
12,1,262,0,861,6843,0,1443,1,0
13,0,5805,0,477,2492,0,349,5,0
13,1,289,0,946,7179,0,1552,1,0
14,0,6271,0,490,2492,0,376,6,0
14,1,312,0,1025,7512,0,1664,2,0
15,0,6725,0,514,2492,0,402,6,0
15,1,339,0,1091,7842,0,1779,2,0
16,0,7132,0,584,2492,0,428,6,0
16,1,359,0,1153,8174,0,1893,2,0
17,0,7581,0,612,2492,0,454,7,0
17,1,376,0,1223,8506,0,2007,2,0
18,0,8140,0,661,2492,0,488,7,0
18,1,394,0,1262,9189,0,2075,2,0
19,0,8681,0,692,2492,0,519,7,0
19,1,394,0,1262,9936,0,2075,2,0
20,0,9172,0,710,2492,0,546,8,0
20,1,394,0,1262,10617,0,2075,2,0
21,0,9673,0,710,2492,0,572,8,0
21,1,394,0,1262,11292,0,2075,2,0
22,0,10145,0,718,2492,0,598,8,0
22,1,394,0,1262,11941,0,2075,2,0
