snapshot,cpu,count,delta
before,0,3278,3278
before,1,3281,3281
before,2,3279,3279
before,3,3278,3278
zephyr-after,0,4238,960
zephyr-after,1,4238,957
zephyr-after,2,4236,957
zephyr-after,3,4235,957
linux-final,0,94947,90709
linux-final,1,94941,90703
linux-final,2,94937,90701
linux-final,3,94934,90699
