sequence,jitter_ns
0,3369504
1,19709216
2,33228352
3,67690960
4,86294736
5,116416416
6,133375776
7,127188208
8,126677840
9,119068560
10,146429376
11,176424320
12,173385408
13,183351280
14,208603376
15,203326192
16,213319072
17,236338672
18,263320384
19,258477920
20,267669616
21,286419136
22,316325072
23,336310608
24,366401968
25,376300992
26,403317520
27,398452576
28,416436784
29,446402144
30,466305808
31,496328992
32,506405776
33,533310544
34,556412880
35,586296432
36,606413232
37,636413280
38,646334288
39,673309760
40,696370224
41,726322064
42,746296080
43,776392896
44,786393216
45,813327488
46,836339040
47,866403024
48,873232720
49,896406960
50,913317552
51,936763760
52,947735264
53,966417440
54,967085248
55,965030352
56,971535568
57,976413776
58,986657360
59,986335744
60,1016417472
61,1046438480
62,1063349184
63,1097776464
64,1103311760
65,1123310336
66,1133213152
67,1138658688
68,1137692736
69,1142147216
70,1133207248
71,1167718784
72,1168135024
73,1163323200
74,1197780928
75,1226300336
76,1256307408
77,1307702144
78,1326409616
79,1343318720
80,1377705952
81,1396439696
82,1413382224
83,1446428480
84,1456433184
85,1486352912
86,1506445712
87,1536355056
88,1553365072
89,1586312592
90,1583359856
91,1606428816
92,1636397312
93,1656402448
94,1686420208
95,1696410896
96,1723327504
97,1746409776
98,1776454880
99,1796296416
100,1826394816
101,1836440000
102,1863336112
103,1897649152
104,1916295664
105,1936305536
106,1966444640
107,1976411472
108,2003333232
109,2037689344
110,2056399680
111,2076332320
112,2106444656
113,2116440048
114,2143347712
115,2177751600
116,2178103280
117,2173317488
118,2197717472
119,2188383920
120,2193313472
121,2223321600
122,2246677152
123,2253325120
124,2287627856
125,2306392992
126,2313325872
127,2336360288
128,2353315584
129,2376294560
130,2406408832
131,2423321232
132,2457581088
133,2476450272
134,2488046240
135,2487598688
136,2506407552
137,2536323600
138,2553310592
139,2586445152
140,2596294608
141,2626389680
142,2653368720
143,2676311936
144,2693339104
145,2716306016
146,2723220368
147,2757557264
148,2776434896
149,2816302176
150,2833348960
151,2873334128
152,2908315952
153,2913344720
154,2937728192
155,2956413232
156,2973218016
157,3013335024
158,3047699872
159,3066421296
160,3106306320
161,3118051104
162,3117688576
163,3136458544
164,3143245632
165,3177760992
166,3196304544
167,3223406032
168,3253366912
169,3276428128
170,3283382832
171,3317629744
172,3336305232
173,3363289840
174,3393371712
175,3433241712
176,3468425184
177,3473233344
178,3496666800
179,3503222656
180,3533250448
181,3573219024
182,3608299536
183,3613210832
184,3647613248
185,3666285888
186,3696281136
187,3736281488
188,3753211232
189,3787539424
190,3806281232
191,3823220128
192,3846286304
193,3866302272
194,3896301232
195,3926281872
196,3928437216
197,3936283936
198,3947930704
199,3948360944
200,3939104512
201,3967581520
202,3968385856
203,3986278496
204,4016279088
205,4028687328
206,4033199184
207,4063218080
208,4098253952
209,4097597504
210,4116294608
211,4118289856
212,4136294640
213,4149311904
214,4153194816
215,4187563232
216,4206288096
217,4208249072
218,4209052288
219,4226282560
220,4256326832
221,4269940800
222,4273198240
223,4307608048
224,4326280736
225,4338381088
226,4356316784
227,4386285664
228,4400583232
229,4403286512
230,4433225088
231,4467550160
232,4468319552
233,4486279520
234,4503201152
235,4531253728
236,4533199328
237,4563216448
238,4597540320
239,4588367040
240,4628337360
241,4633228896
242,4673224336
243,4703229360
244,4737599760
245,4738410368
246,4756301104
247,4773228256
248,4797965296
249,4792663616
250,4793194336
251,4823220528
252,4858324112
253,4863242032
254,4887880320
255,4883201056
256,4917558992
257,4936317456
258,4953191856
259,4976282576
260,4978303120
261,4979040464
262,4996317744
263,5026292016
264,5043244512
265,5043241232
266,5067908272
267,5063229616
268,5097552608
269,5098373488
270,5116284960
271,5133208672
272,5157903440
273,5153247328
274,5153193504
275,5183250224
276,5218319328
277,5217587632
278,5236295904
279,5238257488
280,5256294000
281,5273214384
282,5273197344
283,5307565392
284,5326283728
285,5338377184
286,5356285296
287,5386281632
288,5403196240
289,5403217280
290,5427899472
291,5423204144
292,5457540240
293,5476284832
294,5493201264
295,5516296032
296,5533213952
297,5563223120
298,5597552192
299,5598311024
