run,mode,samples,first_ms,last_ms,overall_rmse,mean_rtt_ms,t300_rmse,t800_rmse,t500_rmse,t300_settle_ms,t800_settle_ms,t500_settle_ms,t300_overshoot,t800_overshoot,t500_overshoot
switch-1,ai,211,471,35150,40.69170880998704,166.5165876777251,66.65559047773475,50.92566866339174,30.23551621318819,,,1250,150,13,135
switch-2,ai,202,979,35237,40.668546729251425,173.9257425742574,66.65559047773475,47.51167619648879,30.41542436356406,,,1588,150,16,133
switch-3,ai,182,975,35001,41.601590206292684,191.71978021978023,69.7159952951975,53.14888448094304,29.608888437592586,,,1371,150,13,130
switch-4,baseline,216,268,35009,196.85795781617657,162.0185185185185,81.33434614029282,240.2824032952337,192.3937802182458,,,,46,0,0
switch-5,baseline,222,247,35380,195.93065053691785,159.3108108108108,81.33434614029282,236.5246355579191,192.39299231537382,,,,46,0,0
switch-6,baseline,221,258,35464,197.64696118829738,160.40723981900453,79.7135496637805,240.74290261872795,192.3993243231379,,,,46,0,0
