snapshot,cpu,count,delta
before,0,3241,3241
before,1,0,0
before,2,3246,3246
before,3,3243,3243
zephyr-after,0,4187,946
zephyr-after,1,0,0
zephyr-after,2,4190,944
zephyr-after,3,4187,944
linux-final,0,194984,190797
linux-final,1,0,0
linux-final,2,194968,190778
linux-final,3,194972,190785
