sample,cpu,user,nice,system,idle,iowait,irq,softirq,steal
62,0,28012,0,1468,2473,0,1749,21,0
62,1,44,0,181,24995,0,6520,8,0
63,0,28463,0,1493,2473,0,1777,21,0
63,1,45,0,182,25346,0,6631,8,0
64,0,28901,0,1529,2473,0,1806,21,0
64,1,46,0,183,25699,0,6739,8,0
65,0,29358,0,1548,2473,0,1834,22,0
65,1,47,0,186,26053,0,6847,8,0
66,0,29810,0,1569,2473,0,1863,22,0
66,1,48,0,188,26404,0,6954,8,0
67,0,30286,0,1569,2473,0,1890,23,0
67,1,49,0,191,26769,0,7051,8,0
68,0,30760,0,1570,2473,0,1918,23,0
68,1,49,0,192,27125,0,7156,8,0
69,0,31224,0,1584,2473,0,1946,23,0
69,1,50,0,195,27487,0,7255,9,0
70,0,31697,0,1589,2473,0,1974,23,0
70,1,51,0,197,27837,0,7368,9,0
71,0,32172,0,1589,2473,0,2003,24,0
71,1,52,0,202,28189,0,7477,9,0
72,0,32620,0,1615,2473,0,2030,24,0
72,1,53,0,203,28554,0,7573,9,0
73,0,33070,0,1644,2473,0,2058,24,0
73,1,54,0,204,28914,0,7677,9,0
74,0,33526,0,1663,2473,0,2087,25,0
74,1,55,0,209,29273,0,7779,9,0
75,0,33982,0,1681,2473,0,2116,25,0
75,1,56,0,213,29625,0,7888,9,0
76,0,34439,0,1700,2473,0,2144,25,0
76,1,57,0,216,29979,0,7995,10,0
77,0,34871,0,1742,2473,0,2173,26,0
77,1,58,0,219,30334,0,8100,10,0
78,0,35297,0,1793,2473,0,2201,26,0
78,1,58,0,221,30686,0,8210,10,0
79,0,35764,0,1801,2473,0,2229,26,0
79,1,59,0,223,31039,0,8317,10,0
80,0,36209,0,1831,2473,0,2258,27,0
80,1,60,0,225,31395,0,8422,10,0
81,0,36664,0,1852,2473,0,2286,27,0
81,1,60,0,228,31753,0,8524,10,0
82,0,37139,0,1854,2473,0,2314,27,0
82,1,60,0,232,32114,0,8626,10,0
83,0,37615,0,1854,2473,0,2342,28,0
83,1,62,0,235,32474,0,8725,10,0
84,0,38080,0,1864,2473,0,2371,28,0
84,1,62,0,238,32829,0,8829,11,0
85,0,38545,0,1873,2473,0,2400,28,0
85,1,63,0,242,33180,0,8940,11,0
86,0,39018,0,1875,2473,0,2429,29,0
86,1,64,0,244,33528,0,9054,11,0
87,0,39485,0,1882,2473,0,2458,29,0
87,1,64,0,249,33879,0,9163,11,0
88,0,39922,0,1921,2473,0,2487,29,0
88,1,65,0,251,34240,0,9265,11,0
89,0,40373,0,1945,2473,0,2515,30,0
89,1,66,0,254,34602,0,9364,11,0
90,0,40826,0,1969,2473,0,2544,30,0
90,1,66,0,258,34960,0,9464,11,0
91,0,41290,0,1980,2473,0,2572,30,0
91,1,67,0,259,35317,0,9566,11,0
92,0,41748,0,1999,2473,0,2600,31,0
92,1,67,0,262,35674,0,9672,11,0
93,0,42176,0,2048,2473,0,2628,31,0
93,1,68,0,266,36034,0,9773,12,0
94,0,42630,0,2068,2473,0,2657,31,0
94,1,69,0,267,36390,0,9874,12,0
95,0,43075,0,2099,2473,0,2685,32,0
95,1,69,0,269,36750,0,9977,12,0
96,0,43527,0,2124,2473,0,2714,32,0
96,1,70,0,271,37106,0,10082,12,0
97,0,43992,0,2135,2473,0,2742,32,0
97,1,71,0,273,37464,0,10186,12,0
98,0,44465,0,2135,2473,0,2770,32,0
98,1,72,0,276,37823,0,10287,12,0
99,0,44937,0,2141,2473,0,2799,33,0
99,1,72,0,279,38183,0,10388,13,0
100,0,45394,0,2159,2473,0,2826,33,0
100,1,73,0,283,38542,0,10488,13,0
101,0,45866,0,2163,2473,0,2854,33,0
101,1,73,0,284,38900,0,10592,13,0
102,0,46342,0,2164,2473,0,2882,34,0
102,1,74,0,287,39262,0,10692,13,0
103,0,46788,0,2193,2473,0,2911,34,0
103,1,75,0,288,39618,0,10797,13,0
104,0,47228,0,2229,2473,0,2940,34,0
104,1,76,0,290,39977,0,10900,13,0
105,0,47687,0,2245,2473,0,2968,35,0
105,1,76,0,294,40333,0,11004,13,0
106,0,48153,0,2254,2473,0,2997,35,0
106,1,77,0,298,40694,0,11104,13,0
107,0,48602,0,2281,2473,0,3025,35,0
107,1,78,0,301,41049,0,11209,14,0
108,0,49037,0,2323,2473,0,3053,36,0
108,1,78,0,304,41410,0,11310,14,0
109,0,49460,0,2374,2473,0,3081,36,0
109,1,79,0,306,41769,0,11409,14,0
110,0,49924,0,2385,2473,0,3110,37,0
110,1,80,0,307,42126,0,11514,14,0
111,0,50366,0,2419,2473,0,3138,37,0
111,1,80,0,309,42484,0,11617,14,0
112,0,50810,0,2451,2473,0,3167,37,0
112,1,82,0,313,42843,0,11717,14,0
113,0,51286,0,2452,2473,0,3195,38,0
113,1,83,0,314,43202,0,11820,14,0
114,0,51760,0,2453,2473,0,3223,38,0
114,1,83,0,315,43550,0,11932,15,0
115,0,52222,0,2468,2473,0,3251,38,0
115,1,83,0,317,43900,0,12046,15,0
116,0,52690,0,2475,2473,0,3279,39,0
116,1,84,0,319,44254,0,12152,15,0
117,0,53166,0,2476,2473,0,3308,39,0
117,1,85,0,321,44613,0,12255,15,0
118,0,53634,0,2482,2473,0,3336,39,0
118,1,85,0,326,44972,0,12357,15,0
119,0,54075,0,2518,2473,0,3364,40,0
119,1,86,0,328,45332,0,12461,15,0
120,0,54527,0,2542,2473,0,3392,40,0
120,1,86,0,331,45690,0,12562,15,0
121,0,54978,0,2567,2473,0,3420,40,0
121,1,86,0,332,46051,0,12662,16,0
122,0,55441,0,2579,2473,0,3448,41,0
122,1,87,0,334,46412,0,12762,16,0
123,0,55900,0,2597,2473,0,3477,41,0
123,1,88,0,336,46767,0,12869,16,0
