sequence,jitter_ns
0,7230528
1,19967456
2,18169200
3,28188224
4,18976768
5,17910544
6,27899824
7,31912192
8,27901424
9,18683296
10,9879920
11,18186432
12,27530704
13,18308528
14,8928688
15,10280640
16,8262976
17,18149632
18,17886384
19,18268288
20,9890400
21,17917680
22,9971472
23,19468960
24,10199392
25,17905280
26,9964464
27,19969104
28,28189744
29,19145584
30,13566960
31,19988176
32,18253168
33,19873936
34,18252688
35,19881232
36,18175168
37,28321200
38,19125280
39,17890016
40,17910224
41,9959360
42,19963408
43,18196720
44,18687472
45,9986800
46,8276608
47,18178832
48,17798896
49,18186400
50,9001360
51,4181216
52,29966672
53,28302384
54,37923184
55,29971840
56,38635408
57,29903776
58,28280240
59,28287584
60,27914848
61,37896640
62,29561936
63,29949632
64,28127904
65,38290384
66,37918992
67,38800880
68,29828272
69,27914832
70,37935200
71,29898464
72,37831936
73,29444784
74,27916064
75,37916736
76,29868160
77,37902160
78,28773792
79,19549376
80,27925616
81,37845840
82,28640288
83,19362624
84,17827824
85,17791488
86,9993136
87,20011168
88,18234752
89,18686160
90,9839760
91,7771728
92,37923904
93,29503824
94,37931312
95,47844272
96,38620768
97,29948640
98,37885600
99,29852336
100,39874960
101,38238288
102,38694992
103,29974240
104,28147712
105,38329696
106,37853056
107,38267760
108,29862688
109,38292992
110,48177104
111,38970720
112,37919792
113,47874960
114,49990448
115,46127088
116,37573552
117,28133136
118,19346576
119,16521280
120,8163904
121,7019680
122,9044656
123,65200
124,8171792
125,19846384
126,18070944
127,18518032
128,9893312
129,6373552
130,29859600
131,28173120
132,19072976
133,28302400
134,27887600
135,28914480
136,21379504
137,11705712
138,8010608
139,37937072
140,28649440
141,29896304
142,25873680
143,17191696
144,8132096
145,21667424
146,18048720
147,8803408
148,-356016
149,7863520
150,19875168
151,18299872
152,19880016
153,15884240
154,20021392
155,18268080
156,18716352
157,9869200
158,8185040
159,18246560
160,17922912
161,18332288
162,9212384
163,18322528
164,17825792
165,19045328
166,17881040
167,8626624
168,38731024
169,29364496
170,27890544
171,28321776
172,38293504
173,37916288
174,38328800
175,29856752
176,27917776
177,37837904
178,29858400
179,29866736
180,28283504
181,30014032
182,28208944
183,38317472
184,29824992
185,37946000
186,29989568
187,39997056
188,38304640
189,38325088
190,29101184
191,27792320
192,37931264
193,29985440
194,37926240
195,29557760
196,38325728
197,37876576
198,39056576
199,37794800
200,29395216
201,38320320
202,37920032
203,39881408
204,38261584
205,40007744
206,38164272
207,48302624
208,39057888
209,30225200
210,28162896
211,29992512
212,28146608
213,38313552
214,29075184
215,30250928
216,28342144
217,38222240
218,37948720
219,37945728
220,29880192
221,37890896
222,29877680
223,38722352
224,29994608
225,37892464
226,29880224
227,39972512
228,38276896
229,39108256
230,37920640
231,29982032
232,39978272
233,47934560
234,39559056
235,37924416
236,47803296
237,39936384
238,47789296
239,39571392
240,48142496
241,58312768
242,49881408
243,47790944
244,48220400
245,47792416
246,57859792
247,49451680
248,40161056
249,47795808
250,39866704
251,49866064
252,48147040
253,48583840
254,39940960
255,49900768
256,48128400
257,49890688
258,48273840
259,39453232
260,48151536
261,47916320
262,48923296
263,47916304
264,50006608
265,48152288
266,58240912
267,49904256
268,58261472
269,57922336
270,67924848
271,69116192
272,67788656
273,59989312
274,69948112
275,77925200
276,69522272
277,77874912
278,69893952
279,78731456
280,69986624
281,68296736
282,77823984
283,69958256
284,79466512
285,77848080
286,78316976
287,77799472
288,87890816
289,78608656
290,69955920
291,78296224
292,77822176
293,87929408
294,78704576
295,70015920
296,78252880
297,68905568
298,78272704
299,77919216
