snapshot,cpu,count,delta
before,0,3253,3253
before,1,0,0
before,2,3257,3257
before,3,3254,3254
zephyr-after,0,4210,957
zephyr-after,1,0,0
zephyr-after,2,4217,960
zephyr-after,3,4213,959
linux-final,0,380563,376353
linux-final,1,0,0
linux-final,2,380547,376330
linux-final,3,380564,376351
