snapshot,cpu,count,delta
before,0,3243,3243
before,1,0,0
before,2,3245,3245
before,3,3239,3239
zephyr-after,0,4189,946
zephyr-after,1,0,0
zephyr-after,2,4188,943
zephyr-after,3,4184,945
linux-final,0,194787,190598
linux-final,1,0,0
linux-final,2,194782,190594
linux-final,3,194782,190598
