snapshot,cpu,count,delta
before,0,3261,3261
before,1,3264,3264
before,2,3263,3263
before,3,3260,3260
zephyr-after,0,4240,979
zephyr-after,1,4245,981
zephyr-after,2,4244,981
zephyr-after,3,4242,982
linux-final,0,189286,185046
linux-final,1,189290,185045
linux-final,2,189286,185042
linux-final,3,189296,185054
