sample,cpu,user,nice,system,idle,iowait,irq,softirq,steal
73,1,41,0,193,29459,0,6820,8,0
74,0,24,0,272,39406,0,84,13,0
74,1,41,0,195,29824,0,6914,8,0
75,0,24,0,274,39905,0,85,13,0
75,1,41,0,196,30190,0,7006,8,0
76,0,25,0,274,40404,0,86,14,0
76,1,42,0,197,30554,0,7100,8,0
77,0,25,0,275,40903,0,87,14,0
77,1,42,0,200,30916,0,7196,8,0
78,0,25,0,276,41402,0,87,14,0
78,1,43,0,203,31274,0,7294,8,0
79,0,25,0,277,41900,0,89,14,0
79,1,44,0,207,31635,0,7391,8,0
80,0,25,0,278,42399,0,90,14,0
80,1,45,0,210,32001,0,7484,9,0
81,0,25,0,279,42898,0,90,14,0
81,1,45,0,213,32363,0,7579,9,0
82,0,25,0,280,43397,0,91,15,0
82,1,45,0,216,32728,0,7672,9,0
83,0,26,0,280,43896,0,92,15,0
83,1,45,0,219,33094,0,7765,9,0
84,0,26,0,282,44394,0,93,15,0
84,1,46,0,220,33461,0,7857,9,0
85,0,26,0,283,44893,0,94,15,0
85,1,46,0,224,33824,0,7951,9,0
86,0,26,0,284,45392,0,95,15,0
86,1,47,0,226,34188,0,8044,9,0
87,0,27,0,285,45891,0,95,15,0
87,1,48,0,228,34549,0,8139,9,0
88,0,27,0,285,46390,0,96,16,0
88,1,48,0,231,34909,0,8236,10,0
89,0,27,0,287,46889,0,97,16,0
89,1,48,0,234,35274,0,8329,10,0
90,0,27,0,288,47388,0,98,16,0
90,1,49,0,239,35635,0,8424,10,0
91,0,27,0,289,47887,0,98,16,0
91,1,51,0,242,35995,0,8520,10,0
92,0,27,0,290,48385,0,99,16,0
92,1,52,0,247,36353,0,8617,10,0
93,0,28,0,291,48884,0,100,16,0
93,1,53,0,250,36718,0,8710,10,0
94,0,28,0,292,49383,0,101,17,0
94,1,54,0,252,37084,0,8802,10,0
95,0,28,0,293,49882,0,102,17,0
95,1,55,0,254,37449,0,8895,10,0
96,0,28,0,294,50381,0,103,17,0
96,1,55,0,256,37813,0,8988,10,0
97,0,28,0,295,50880,0,104,17,0
97,1,56,0,258,38176,0,9083,10,0
98,0,28,0,296,51378,0,105,17,0
98,1,57,0,260,38540,0,9177,11,0
99,0,28,0,297,51877,0,106,17,0
99,1,58,0,263,38902,0,9273,11,0
100,0,28,0,298,52376,0,107,18,0
100,1,59,0,265,39267,0,9366,11,0
101,0,29,0,298,52875,0,107,18,0
101,1,60,0,266,39628,0,9461,11,0
102,0,29,0,300,53374,0,108,18,0
102,1,60,0,269,39991,0,9555,11,0
103,0,29,0,301,53873,0,109,18,0
103,1,61,0,272,40350,0,9653,11,0
104,0,29,0,302,54371,0,110,18,0
104,1,61,0,275,40713,0,9747,11,0
105,0,29,0,302,54870,0,111,18,0
105,1,61,0,278,41075,0,9843,11,0
106,0,30,0,303,55369,0,112,19,0
106,1,62,0,280,41439,0,9937,11,0
107,0,30,0,303,55868,0,113,19,0
107,1,63,0,284,41797,0,10035,12,0
