snapshot,cpu,count,delta
before,0,3264,3264
before,1,3267,3267
before,2,3265,3265
before,3,3264,3264
zephyr-after,0,4247,983
zephyr-after,1,4246,979
zephyr-after,2,4244,979
zephyr-after,3,4243,979
linux-final,0,186226,181979
linux-final,1,186233,181987
linux-final,2,186224,181980
linux-final,3,186223,181980
